table,column,type,primary_key,foreign_key,nullable,unique,default,check,ontology_mapping
dataset,dataset_id,BIGSERIAL,True,,False,False,,,https://w3id.org/cm-pharme/2.0/Dataset
dataset,public_id,TEXT,False,,False,True,,,https://w3id.org/cm-pharme/2.0/Dataset
dataset,title,TEXT,False,,False,False,,,https://w3id.org/cm-pharme/2.0/Dataset
dataset,doi,TEXT,False,,True,False,,,https://w3id.org/cm-pharme/2.0/Dataset
dataset,source_role,TEXT,False,,False,False,,"source_role IN ('primary','secondary','authoritative','conditional','fixture')",https://w3id.org/cm-pharme/2.0/Dataset
dataset,license_note,TEXT,False,,True,False,,,https://w3id.org/cm-pharme/2.0/Dataset
dataset,ontology_iri,TEXT,False,,False,False,'https://w3id.org/cm-pharme/2.0/Dataset',,https://w3id.org/cm-pharme/2.0/Dataset
dataset_release,dataset_release_id,BIGSERIAL,True,,False,False,,,https://w3id.org/cm-pharme/2.0/DatasetRelease
dataset_release,dataset_id,BIGINT,False,dataset.dataset_id,False,False,,,https://w3id.org/cm-pharme/2.0/DatasetRelease
dataset_release,public_id,TEXT,False,,False,True,,,https://w3id.org/cm-pharme/2.0/DatasetRelease
dataset_release,release_label,TEXT,False,,False,False,,,https://w3id.org/cm-pharme/2.0/DatasetRelease
dataset_release,source_filename,TEXT,False,,True,False,,,https://w3id.org/cm-pharme/2.0/DatasetRelease
dataset_release,retrieved_at,TIMESTAMPTZ,False,,True,False,,,https://w3id.org/cm-pharme/2.0/DatasetRelease
dataset_release,ontology_iri,TEXT,False,,False,False,'https://w3id.org/cm-pharme/2.0/DatasetRelease',,https://w3id.org/cm-pharme/2.0/DatasetRelease
transformation_run,transformation_run_id,BIGSERIAL,True,,False,False,,,https://w3id.org/cm-pharme/2.0/ProvenanceActivity
transformation_run,public_id,TEXT,False,,False,True,,,https://w3id.org/cm-pharme/2.0/ProvenanceActivity
transformation_run,adapter_name,TEXT,False,,False,False,,,https://w3id.org/cm-pharme/2.0/ProvenanceActivity
transformation_run,adapter_version,TEXT,False,,False,False,,,https://w3id.org/cm-pharme/2.0/ProvenanceActivity
transformation_run,started_at,TIMESTAMPTZ,False,,False,False,now(),,https://w3id.org/cm-pharme/2.0/ProvenanceActivity
transformation_run,completed_at,TIMESTAMPTZ,False,,True,False,,,https://w3id.org/cm-pharme/2.0/ProvenanceActivity
transformation_run,status,TEXT,False,,False,False,,"status IN ('running','completed','failed')",https://w3id.org/cm-pharme/2.0/ProvenanceActivity
transformation_run,ontology_iri,TEXT,False,,False,False,'https://w3id.org/cm-pharme/2.0/ProvenanceActivity',,https://w3id.org/cm-pharme/2.0/ProvenanceActivity
source_record,source_record_id,BIGSERIAL,True,,False,False,,,https://w3id.org/cm-pharme/2.0/SourceRecord
source_record,dataset_release_id,BIGINT,False,dataset_release.dataset_release_id,False,False,,,https://w3id.org/cm-pharme/2.0/SourceRecord
