table,column,ref_table,ref_column,nullable,documented
dataset_release,dataset_id,dataset,dataset_id,False,yes
source_record,dataset_release_id,dataset_release,dataset_release_id,False,yes
source_record,transformation_run_id,transformation_run,transformation_run_id,True,yes
geography_alias,geography_id,geography,geography_id,False,yes
geography_alias,source_record_id,source_record,source_record_id,True,yes
regulatory_jurisdiction,geography_id,geography,geography_id,True,yes
facility,geography_id,geography,geography_id,True,yes
facility_operation,organization_id,organization,organization_id,False,yes
facility_operation,facility_id,facility,facility_id,False,yes
medicinal_product,primary_substance_id,pharmaceutical_substance,substance_id,True,yes
product_presentation,medicinal_product_id,medicinal_product,medicinal_product_id,False,yes
identifier_assignment,identifier_scheme_id,identifier_scheme,identifier_scheme_id,False,yes
identifier_assignment,source_record_id,source_record,source_record_id,True,yes
classification_entry,classification_scheme_id,product_classification_scheme,classification_scheme_id,False,yes
product_classification_assignment,medicinal_product_id,medicinal_product,medicinal_product_id,False,yes
product_classification_assignment,classification_entry_id,classification_entry,classification_entry_id,False,yes
product_classification_assignment,source_record_id,source_record,source_record_id,True,yes
evidence_support,source_record_id,source_record,source_record_id,False,yes
evidence_support,assertion_id,assertion,assertion_id,False,yes
observation_result,product_presentation_id,product_presentation,product_presentation_id,True,yes
observation_result,facility_id,facility,facility_id,True,yes
observation_result,geography_id,geography,geography_id,True,yes
observation_result,diagnosis_reference_id,diagnosis_reference,diagnosis_reference_id,True,yes
observation_result,source_record_id,source_record,source_record_id,False,yes
observation_result,assertion_id,assertion,assertion_id,False,yes
entity_match_assertion,source_record_a_id,source_record,source_record_id,False,yes
entity_match_assertion,source_record_b_id,source_record,source_record_id,False,yes
medicine_shortage_situation,medicinal_product_id,medicinal_product,medicinal_product_id,True,yes
medicine_shortage_situation,product_presentation_id,product_presentation,product_presentation_id,True,yes
medicine_shortage_situation,regulatory_jurisdiction_id,regulatory_jurisdiction,regulatory_jurisdiction_id,True,yes
medicine_shortage_situation,source_record_id,source_record,source_record_id,True,yes
